Date,Open,High,Low,Close,Adj Close,Volume
02-01-2014,79.382858,79.575714,78.860001,79.01857,66.964325,58671200
03-01-2014,78.980003,79.099998,77.204285,77.28286,65.493416,98116900
06-01-2014,76.778572,78.114288,76.228569,77.704285,65.850533,103152700
07-01-2014,77.760002,77.994286,76.845711,77.148575,65.379593,79302300
08-01-2014,76.972855,77.937141,76.955711,77.637146,65.793633,64632400
09-01-2014,78.114288,78.122856,76.478569,76.645714,64.953445,69787200
10-01-2014,77.118568,77.257141,75.872856,76.134285,64.520035,76244000
13-01-2014,75.701431,77.5,75.697144,76.53286,64.857819,94623200
14-01-2014,76.888573,78.104286,76.808571,78.055717,66.148376,83140400
15-01-2014,79.074287,80.028572,78.808571,79.622856,67.476418,97909700
16-01-2014,79.271431,79.550003,78.811432,79.178574,67.099922,57319500
17-01-2014,78.78286,78.867142,77.128571,77.238571,65.455879,106684900
21-01-2014,77.284286,78.581429,77.202858,78.438568,66.472824,82131700
22-01-2014,78.701431,79.612854,78.258568,78.78714,66.768219,94996300
23-01-2014,78.562859,79.5,77.830002,79.454285,67.333588,100809800
24-01-2014,79.14286,79.374283,77.821426,78.010002,66.109619,107338700
27-01-2014,78.581429,79.257141,77.964287,78.64286,66.645943,138719700
28-01-2014,72.68,73.571426,71.724289,72.35714,61.319111,266380800
29-01-2014,71.992859,72.48143,71.23143,71.535713,60.622982,125702500
30-01-2014,71.791428,72.35714,70.957146,71.397141,60.505547,169625400
31-01-2014,70.739998,71.647141,70.507141,71.514282,60.604813,116199300
03-02-2014,71.80143,72.53286,71.328575,71.647141,60.717407,100366000
04-02-2014,72.264282,72.779999,71.822861,72.684288,61.59634,94170300
05-02-2014,72.365715,73.611427,72.321426,73.227142,62.056385,82086200
06-02-2014,72.865715,73.35714,72.544289,73.215714,64.743347,64441300
07-02-2014,74.482857,74.704285,73.91143,74.239998,65.649094,92570100
10-02-2014,74.094284,75.998573,74,75.57,66.82518,86389800
11-02-2014,75.80143,76.821426,75.64286,76.565712,67.705673,70564200
12-02-2014,76.707146,77.080002,76.177139,76.559998,67.700623,77025200
13-02-2014,76.379997,77.835716,76.314285,77.775711,68.775658,76849500
14-02-2014,77.495712,77.997147,77.315712,77.71286,68.720093,68231100
18-02-2014,78,78.741432,77.944283,77.998573,68.972733,65062900
19-02-2014,77.821426,78.127144,76.335716,76.767143,67.883812,78442000
20-02-2014,76.141426,76.714287,75.571426,75.878571,67.098045,76464500
21-02-2014,76.112854,76.367142,74.942856,75.035713,66.352722,69696200
24-02-2014,74.735718,75.702858,74.631432,75.364288,66.643288,72227400
25-02-2014,75.625717,75.652855,74.428574,74.580002,65.949753,57988000
26-02-2014,74.80143,75,73.657143,73.907143,65.354752,69054300
27-02-2014,73.877144,75.540001,73.721428,75.381432,66.658447,75470500
28-02-2014,75.582855,76.10714,74.58857,75.177139,66.477783,92992200
03-03-2014,74.774284,75.807144,74.687141,75.394287,66.669823,59695300
04-03-2014,75.85714,76.091431,75.395714,75.891426,67.109421,64785000
05-03-2014,75.845711,76.39286,75.589996,76.05143,67.250908,50015700
